                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.47245,                0.52391,                0.71468,                0.96581,                0.83464,                      1,                0.97214,                0.73157,                0.83464,                      1,                0.97214,                0.66709,                0.99118,                 1.4943,                 1.1791,                 1.6806,              0.0012709,              0.0012709,              0.0012709
                     26,                 0.4546,                0.42957,                0.73066,                0.98316,                0.92058,                      1,                  0.995,                0.68208,                0.92058,                      1,                  0.995,                0.74652,                 1.2006,                 1.2252,                  1.806,                 2.1602,              0.0012544,              0.0012544,              0.0012544
                     27,                0.51472,                0.54384,                0.78911,                 1.0407,                0.97056,                      1,                  0.995,                0.65832,                0.97056,                      1,                  0.995,                0.87966,                0.92168,                0.67562,                  1.484,                  1.837,              0.0012379,              0.0012379,              0.0012379
                     28,                0.54882,                0.47357,                0.73301,                 1.0353,                0.98554,                      1,                  0.995,                0.73738,                0.98554,                      1,                  0.995,                0.84376,                0.80018,                 0.7934,                 1.0272,                  1.689,              0.0012214,              0.0012214,              0.0012214
                     29,                0.53315,                0.60394,                0.75906,                 1.0282,                0.98944,                      1,                  0.995,                0.75743,                0.98944,                      1,                  0.995,                0.84928,                0.78675,                0.82695,                 0.9894,                   1.84,              0.0012049,              0.0012049,              0.0012049
                     30,                0.53011,                  0.426,                0.70301,                 1.0479,                0.98616,                      1,                  0.995,                0.86917,                0.98616,                      1,                  0.995,                0.82922,                0.63844,                 0.8476,                0.90527,                 1.5022,              0.0011884,              0.0011884,              0.0011884
                     31,                0.53034,                0.44591,                0.72195,                 1.0441,                0.99031,                      1,                  0.995,                0.89385,                0.99031,                      1,                  0.995,                0.75511,                0.56425,                 1.2164,                0.63096,                 1.4436,              0.0011719,              0.0011719,              0.0011719
                     32,                0.46328,                0.44911,                0.65394,                0.96704,                 0.9962,                      1,                  0.995,                0.81097,                 0.9962,                      1,                  0.995,                0.66488,                0.64305,                 2.2932,                0.67345,                 1.3906,              0.0011554,              0.0011554,              0.0011554
                     33,                0.47552,                0.51618,                0.65274,                 1.0072,                0.99172,                      1,                  0.995,                0.85089,                0.99172,                      1,                  0.995,                0.73265,                0.56325,                 1.4036,                 0.6631,                 1.3837,              0.0011389,              0.0011389,              0.0011389
                     34,                0.49098,                0.50891,                0.63866,                 1.0014,                      1,                0.98953,                  0.995,                0.82818,                      1,                0.98953,                  0.995,                0.86843,                0.62494,                0.70867,                0.82087,                 1.4798,              0.0011224,              0.0011224,              0.0011224
                     35,                 0.4476,                0.44486,                0.61131,                0.96503,                0.98871,                      1,                  0.995,                0.87117,                0.98871,                      1,                  0.995,                0.86842,                0.58854,                0.51918,                0.74905,                 1.2796,              0.0011059,              0.0011059,              0.0011059
